pclass,survived,name,sex,fare
1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,90.0
1,1,"Icard, Miss. Amelie",female,80.0
1,0,"Isham, Miss. Ann Elizabeth",female,28.7125
1,1,"Ismay, Mr. Joseph Bruce",male,0.0
1,0,"Jones, Mr. Charles Cresson",male,26.0
1,0,"Julian, Mr. Henry Forbes",male,26.0
1,0,"Keeping, Mr. Edwin",male,211.5
1,0,"Kent, Mr. Edward Austin",male,29.7
1,0,"Kenyon, Mr. Frederick R",male,51.8625
1,1,"Kenyon, Mrs. Frederick R (Marion)",female,51.8625
1,1,"Kimball, Mr. Edwin Nelson Jr",male,52.5542
1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,52.5542
1,0,"Klaber, Mr. Herman",male,26.55
1,1,"Kreuchen, Miss. Emilie",female,211.3375
1,1,"Leader, Dr. Alice (Farnham)",female,25.9292
1,1,"LeRoy, Miss. Bertha",female,106.425
1,1,"Lesurer, Mr. Gustave J",male,512.3292
1,0,"Lewy, Mr. Ervin G",male,27.7208
1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",male,26.55
1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,27.7208
1,1,"Lines, Miss. Mary Conover",female,39.4
1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,39.4
1,0,"Long, Mr. Milton Clyde",male,30.0
1,1,"Longley, Miss. Gretchen Fiske",female,77.9583
1,0,"Loring, Mr. Joseph Holland",male,45.5
1,1,"Lurette, Miss. Elise",female,146.5208
1,1,"Madill, Miss. Georgette Alexandra",female,211.3375
1,0,"Maguire, Mr. John Edward",male,26.0
1,1,"Maioni, Miss. Roberta",female,86.5
1,1,"Marechal, Mr. Pierre",male,29.7
1,0,"Marvin, Mr. Daniel Warner",male,53.1
1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,53.1
1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,49.5042
1,0,"McCaffry, Mr. Thomas Francis",male,75.2417
1,0,"McCarthy, Mr. Timothy J",male,51.8625
1,1,"McGough, Mr. James Robert",male,26.2875
1,0,"Meyer, Mr. Edgar Joseph",male,82.1708
1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,82.1708
1,0,"Millet, Mr. Francis Davis",male,26.55
1,0,"Minahan, Dr. William Edward",male,90.0
1,1,"Minahan, Miss. Daisy E",female,90.0
1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,90.0
1,1,"Mock, Mr. Philipp Edmund",male,57.75
1,0,"Molson, Mr. Harry Markland",male,30.5
1,0,"Moore, Mr. Clarence Bloomfield",male,42.4
1,0,"Natsch, Mr. Charles H",male,29.7
1,1,"Newell, Miss. Madeleine",female,113.275
1,1,"Newell, Miss. Marjorie",female,113.275
1,0,"Newell, Mr. Arthur Webster",male,113.275
1,1,"Newsom, Miss. Helen Monypeny",female,26.2833
1,0,"Nicholson, Mr. Arthur Ernest",male,26.0
1,1,"Oliva y Ocana, Dona. Fermina",female,108.9
1,1,"Omont, Mr. Alfred Fernand",male,25.7417
1,1,"Ostby, Miss. Helene Ragnhild",female,61.9792
1,0,"Ostby, Mr. Engelhart Cornelius",male,61.9792
1,0,"Ovies y Rodriguez, Mr. Servando",male,27.7208
1,0,"Parr, Mr. William Henry Marsh",male,0.0
1,0,"Partner, Mr. Austen",male,28.5
1,0,"Payne, Mr. Vivian Ponsonby",male,93.5
1,0,"Pears, Mr. Thomas Clinton",male,66.6
1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,66.6
1,0,"Penasco y Castellana, Mr. Victor de Satode",male,108.9
1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,108.9
1,1,"Perreault, Miss. Anne",female,93.5
1,1,"Peuchen, Major. Arthur Godfrey",male,30.5
1,0,"Porter, Mr. Walter Chamberlain",male,52.0
1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,83.1583
1,0,"Reuchlin, Jonkheer. John George",male,0.0
1,1,"Rheims, Mr. George Alexander Lucien",male,39.6
1,0,"Ringhini, Mr. Sante",male,135.6333
1,0,"Robbins, Mr. Victor",male,227.525
1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,211.3375
1,0,"Roebling, Mr. Washington Augustus II",male,50.4958
1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,26.55
1,0,"Rood, Mr. Hugh Roscoe",male,50.0
1,1,"Rosenbaum, Miss. Edith Louise",female,27.7208
1,0,"Rosenshine, Mr. George (""Mr George Thorne"")",male,79.2
1,0,"Ross, Mr. John Hugo",male,40.125
1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,86.5
1,0,"Rothschild, Mr. Martin",male,59.4
1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,59.4
1,0,"Rowe, Mr. Alfred G",male,26.55
1,1,"Ryerson, Master. John Borie",male,262.375
1,1,"Ryerson, Miss. Emily Borie",female,262.375
1,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,262.375
1,0,"Ryerson, Mr. Arthur Larned",male,262.375
1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,262.375
1,1,"Saalfeld, Mr. Adolphe",male,30.5
1,1,"Sagesser, Mlle. Emma",female,69.3
1,1,"Salomon, Mr. Abraham L",male,26.0
1,1,"Schabert, Mrs. Paul (Emma Mock)",female,57.75
1,1,"Serepeca, Miss. Augusta",female,31.0
1,1,"Seward, Mr. Frederic Kimber",male,26.55
1,1,"Shutes, Miss. Elizabeth W",female,153.4625
1,1,"Silverthorne, Mr. Spencer Victor",male,26.2875
1,0,"Silvey, Mr. William Baird",male,55.9
1,1,"Silvey, Mrs. William Baird (Alice Munger)",female,55.9
1,1,"Simonius-Blumer, Col. Oberst Alfons",male,35.5
1,1,"Sloper, Mr. William Thompson",male,35.5
1,0,"Smart, Mr. John Montgomery",male,26.55
1,0,"Smith, Mr. James Clinch",male,30.6958
1,0,"Smith, Mr. Lucien Philip",male,60.0
1,0,"Smith, Mr. Richard William",male,26.0
1,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",female,60.0
1,1,"Snyder, Mr. John Pillsbury",male,82.2667
1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,82.2667
1,1,"Spedden, Master. Robert Douglas",male,134.5
1,1,"Spedden, Mr. Frederic Oakley",male,134.5
1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,134.5
1,0,"Spencer, Mr. William Augustus",male,146.5208
1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,146.5208
1,1,"Stahelin-Maeglin, Dr. Max",male,30.5
1,0,"Stead, Mr. William Thomas",male,26.55
1,1,"Stengel, Mr. Charles Emil Henry",male,55.4417
1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,55.4417
1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,78.2667
1,0,"Stewart, Mr. Albert A",male,27.7208
1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,80.0
1,0,"Straus, Mr. Isidor",male,221.7792
1,0,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,221.7792
1,0,"Sutton, Mr. Frederick",male,32.3208
1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,25.9292
1,1,"Taussig, Miss. Ruth",female,79.65
1,0,"Taussig, Mr. Emil",male,79.65
1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,79.65
1,1,"Taylor, Mr. Elmer Zebley",male,52.0
1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,52.0
1,0,"Thayer, Mr. John Borland",male,110.8833
1,1,"Thayer, Mr. John Borland Jr",male,110.8833
1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,110.8833
1,1,"Thorne, Mrs. Gertrude Maybelle",female,79.2
1,1,"Tucker, Mr. Gilbert Milligan Jr",male,28.5375
1,0,"Uruchurtu, Don. Manuel E",male,27.7208
1,0,"Van der hoef, Mr. Wyckoff",male,33.5
1,0,"Walker, Mr. William Anderson",male,34.0208
1,1,"Ward, Miss. Anna",female,512.3292
1,0,"Warren, Mr. Frank Manley",male,75.25
1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,75.25
1,0,"Weir, Col. John",male,26.55
1,0,"White, Mr. Percival Wayland",male,77.2875
1,0,"White, Mr. Richard Frasar",male,77.2875
1,1,"White, Mrs. John Stuart (Ella Holmes)",female,135.6333
1,1,"Wick, Miss. Mary Natalie",female,164.8667
1,0,"Wick, Mr. George Dennick",male,164.8667
1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,164.8667
1,0,"Widener, Mr. George Dunton",male,211.5
1,0,"Widener, Mr. Harry Elkins",male,211.5
1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,211.5
1,1,"Willard, Miss. Constance",female,26.55
1,0,"Williams, Mr. Charles Duane",male,61.3792
1,1,"Williams, Mr. Richard Norris II",male,61.3792
1,0,"Williams-Lambert, Mr. Fletcher Fellows",male,35.0
1,1,"Wilson, Miss. Helen Alice",female,134.5
1,1,"Woolner, Mr. Hugh",male,35.5
1,0,"Wright, Mr. George",male,26.55
1,1,"Young, Miss. Marie Grice",female,135.6333
2,0,"Abelson, Mr. Samuel",male,24.0
2,1,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,24.0
2,0,"Aldworth, Mr. Charles Augustus",male,13.0
2,0,"Andrew, Mr. Edgardo Samuel",male,11.5
2,0,"Andrew, Mr. Frank Thomas",male,10.5
2,0,"Angle, Mr. William A",male,26.0
2,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,26.0
2,0,"Ashby, Mr. John",male,13.0
2,0,"Bailey, Mr. Percy Andrew",male,11.5
2,0,"Baimbrigge, Mr. Charles Robert",male,10.5
2,1,"Ball, Mrs. (Ada E Hall)",female,13.0
2,0,"Banfield, Mr. Frederick James",male,10.5
2,0,"Bateman, Rev. Robert James",male,12.525
2,1,"Beane, Mr. Edward",male,26.0
2,1,"Beane, Mrs. Edward (Ethel Clarke)",female,26.0
2,0,"Beauchamp, Mr. Henry James",male,26.0
2,1,"Becker, Master. Richard F",male,39.0
2,1,"Becker, Miss. Marion Louise",female,39.0
2,1,"Becker, Miss. Ruth Elizabeth",female,39.0
2,1,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,39.0
2,1,"Beesley, Mr. Lawrence",male,13.0
2,1,"Bentham, Miss. Lilian W",female,13.0
2,0,"Berriman, Mr. William John",male,13.0
2,0,"Botsford, Mr. William Hull",male,13.0
2,0,"Bowenur, Mr. Solomon",male,13.0
2,0,"Bracken, Mr. James H",male,13.0
2,1,"Brown, Miss. Amelia ""Mildred""",female,13.0
2,1,"Brown, Miss. Edith Eileen",female,39.0
2,0,"Brown, Mr. Thomas William Solomon",male,39.0
2,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,39.0
2,1,"Bryhl, Miss. Dagmar Jenny Ingeborg ",female,26.0
2,0,"Bryhl, Mr. Kurt Arnold Gottfrid",male,26.0
2,1,"Buss, Miss. Kate",female,13.0
2,0,"Butler, Mr. Reginald Fenton",male,13.0
2,0,"Byles, Rev. Thomas Roussel Davids",male,13.0
2,1,"Bystrom, Mrs. (Karolina)",female,13.0
2,1,"Caldwell, Master. Alden Gates",male,29.0
2,1,"Caldwell, Mr. Albert Francis",male,29.0
2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,29.0
2,1,"Cameron, Miss. Clear Annie",female,21.0
2,0,"Campbell, Mr. William",male,0.0
2,0,"Carbines, Mr. William",male,13.0
2,0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,26.0
2,0,"Carter, Rev. Ernest Courtenay",male,26.0
2,0,"Chapman, Mr. Charles Henry",male,13.5
2,0,"Chapman, Mr. John Henry",male,26.0
2,0,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,26.0
2,1,"Christy, Miss. Julie Rachel",female,30.0
2,1,"Christy, Mrs. (Alice Frances)",female,30.0
2,0,"Clarke, Mr. Charles Valentine",male,26.0
2,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,26.0
2,0,"Coleridge, Mr. Reginald Charles",male,10.5
2,0,"Collander, Mr. Erik Gustaf",male,13.0
2,1,"Collett, Mr. Sidney C Stuart",male,10.5
2,1,"Collyer, Miss. Marjorie ""Lottie""",female,26.25
2,0,"Collyer, Mr. Harvey",male,26.25
2,1,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,26.25
2,1,"Cook, Mrs. (Selena Rogers)",female,10.5
2,0,"Corbett, Mrs. Walter H (Irene Colvin)",female,13.0
2,0,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",female,21.0
2,0,"Cotterill, Mr. Henry ""Harry""",male,11.5
2,0,"Cunningham, Mr. Alfred Fleming",male,0.0
2,1,"Davies, Master. John Morgan Jr",male,36.75
2,0,"Davies, Mr. Charles Henry",male,73.5
2,1,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",female,36.75
2,1,"Davis, Miss. Mary",female,13.0
2,0,"de Brito, Mr. Jose Joaquim",male,13.0
2,0,"Deacon, Mr. Percy William",male,73.5
2,0,"del Carlo, Mr. Sebastiano",male,27.7208
2,1,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female,27.7208
2,0,"Denbury, Mr. Herbert",male,31.5
2,0,"Dibden, Mr. William",male,73.5
2,1,"Doling, Miss. Elsie",female,23.0
2,1,"Doling, Mrs. John T (Ada Julia Bone)",female,23.0
2,0,"Downton, Mr. William James",male,26.0
2,1,"Drew, Master. Marshall Brines",male,32.5
2,0,"Drew, Mr. James Vivian",male,32.5
2,1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,32.5
2,1,"Duran y More, Miss. Asuncion",female,13.8583
2,1,"Duran y More, Miss. Florentina",female,13.8583
2,0,"Eitemiller, Mr. George Floyd",male,13.0
2,0,"Enander, Mr. Ingvar",male,13.0
2,0,"Fahlstrom, Mr. Arne Jonas",male,13.0
2,0,"Faunthorpe, Mr. Harry",male,26.0
2,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,26.0
2,0,"Fillbrook, Mr. Joseph Charles",male,10.5
2,0,"Fox, Mr. Stanley Hubert",male,13.0
2,0,"Frost, Mr. Anthony Wood ""Archie""",male,0.0
2,0,"Funk, Miss. Annie Clemmer",female,13.0
2,0,"Fynney, Mr. Joseph J",male,26.0
2,0,"Gale, Mr. Harry",male,21.0
2,0,"Gale, Mr. Shadrach",male,21.0
2,1,"Garside, Miss. Ethel",female,13.0
2,0,"Gaskell, Mr. Alfred",male,26.0
2,0,"Gavey, Mr. Lawrence",male,10.5
2,0,"Gilbert, Mr. William",male,10.5
2,0,"Giles, Mr. Edgar",male,11.5
2,0,"Giles, Mr. Frederick Edward",male,11.5
2,0,"Giles, Mr. Ralph",male,13.5
2,0,"Gill, Mr. John William",male,13.0
2,0,"Gillespie, Mr. William Henry",male,13.0
2,0,"Givard, Mr. Hans Kristensen",male,13.0
2,0,"Greenberg, Mr. Samuel",male,13.0
2,0,"Hale, Mr. Reginald",male,13.0
2,1,"Hamalainen, Master. Viljo",male,14.5
2,1,"Hamalainen, Mrs. William (Anna)",female,14.5
2,0,"Harbeck, Mr. William H",male,13.0
2,1,"Harper, Miss. Annie Jessie ""Nina""",female,33.0
2,0,"Harper, Rev. John",male,33.0
2,1,"Harris, Mr. George",male,10.5
2,0,"Harris, Mr. Walter",male,10.5
2,1,"Hart, Miss. Eva Miriam",female,26.25
2,0,"Hart, Mr. Benjamin",male,26.25
2,1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,26.25
2,1,"Herman, Miss. Alice",female,65.0
2,1,"Herman, Miss. Kate",female,65.0
2,0,"Herman, Mr. Samuel",male,65.0
2,1,"Herman, Mrs. Samuel (Jane Laver)",female,65.0
2,1,"Hewlett, Mrs. (Mary D Kingcome) ",female,16.0
2,0,"Hickman, Mr. Leonard Mark",male,73.5
2,0,"Hickman, Mr. Lewis",male,73.5
2,0,"Hickman, Mr. Stanley George",male,73.5
2,0,"Hiltunen, Miss. Marta",female,13.0
2,1,"Hocking, Miss. Ellen ""Nellie""",female,23.0
2,0,"Hocking, Mr. Richard George",male,11.5
2,0,"Hocking, Mr. Samuel James Metcalfe",male,13.0
2,1,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,23.0
2,0,"Hodges, Mr. Henry Price",male,13.0
2,0,"Hold, Mr. Stephen",male,26.0
2,1,"Hold, Mrs. Stephen (Annie Margaret Hill)",female,26.0
2,0,"Hood, Mr. Ambrose Jr",male,73.5
2,1,"Hosono, Mr. Masabumi",male,13.0
2,0,"Howard, Mr. Benjamin",male,26.0
2,0,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",female,26.0
2,0,"Hunt, Mr. George Henry",male,12.275
2,1,"Ilett, Miss. Bertha",female,10.5
2,0,"Jacobsohn, Mr. Sidney Samuel",male,27.0
2,1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,27.0
