name,age,ticket
"Abelson, Mr. Samuel",30.0,P/PP 3381
"Abelson, Mrs. Samuel (Hannah Wizosky)",28.0,P/PP 3381
"Aldworth, Mr. Charles Augustus",30.0,248744
"Andrew, Mr. Edgardo Samuel",18.0,231945
"Andrew, Mr. Frank Thomas",25.0,C.A. 34050
"Angle, Mr. William A",34.0,226875
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",36.0,226875
"Ashby, Mr. John",57.0,244346
"Bailey, Mr. Percy Andrew",18.0,29108
"Baimbrigge, Mr. Charles Robert",23.0,C.A. 31030
"Ball, Mrs. (Ada E Hall)",36.0,28551
"Banfield, Mr. Frederick James",28.0,C.A./SOTON 34068
"Bateman, Rev. Robert James",51.0,S.O.P. 1166
"Beane, Mr. Edward",32.0,2908
"Beane, Mrs. Edward (Ethel Clarke)",19.0,2908
"Beauchamp, Mr. Henry James",28.0,244358
"Becker, Master. Richard F",1.0,230136
"Becker, Miss. Marion Louise",4.0,230136
"Becker, Miss. Ruth Elizabeth",12.0,230136
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",36.0,230136
"Beesley, Mr. Lawrence",34.0,248698
"Bentham, Miss. Lilian W",19.0,28404
"Berriman, Mr. William John",23.0,28425
"Botsford, Mr. William Hull",26.0,237670
"Bowenur, Mr. Solomon",42.0,211535
"Bracken, Mr. James H",27.0,220367
"Brown, Miss. Amelia ""Mildred""",24.0,248733
"Brown, Miss. Edith Eileen",15.0,29750
"Brown, Mr. Thomas William Solomon",60.0,29750
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",40.0,29750
"Bryhl, Miss. Dagmar Jenny Ingeborg ",20.0,236853
"Bryhl, Mr. Kurt Arnold Gottfrid",25.0,236853
"Buss, Miss. Kate",36.0,27849
"Butler, Mr. Reginald Fenton",25.0,234686
"Byles, Rev. Thomas Roussel Davids",42.0,244310
"Bystrom, Mrs. (Karolina)",42.0,236852
"Caldwell, Master. Alden Gates",0.8333,248738
"Caldwell, Mr. Albert Francis",26.0,248738
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22.0,248738
"Cameron, Miss. Clear Annie",35.0,F.C.C. 13528
"Campbell, Mr. William",,239853
"Carbines, Mr. William",19.0,28424
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",44.0,244252
"Carter, Rev. Ernest Courtenay",54.0,244252
"Chapman, Mr. Charles Henry",52.0,248731
"Chapman, Mr. John Henry",37.0,SC/AH 29037
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",29.0,SC/AH 29037
"Christy, Miss. Julie Rachel",25.0,237789
"Christy, Mrs. (Alice Frances)",45.0,237789
"Clarke, Mr. Charles Valentine",29.0,2003
"Clarke, Mrs. Charles V (Ada Maria Winfield)",28.0,2003
"Coleridge, Mr. Reginald Charles",29.0,W./C. 14263
"Collander, Mr. Erik Gustaf",28.0,248740
"Collett, Mr. Sidney C Stuart",24.0,28034
"Collyer, Miss. Marjorie ""Lottie""",8.0,C.A. 31921
"Collyer, Mr. Harvey",31.0,C.A. 31921
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",31.0,C.A. 31921
"Cook, Mrs. (Selena Rogers)",22.0,W./C. 14266
"Corbett, Mrs. Walter H (Irene Colvin)",30.0,237249
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",,F.C.C. 13534
"Cotterill, Mr. Henry ""Harry""",21.0,29107
"Cunningham, Mr. Alfred Fleming",,239853
"Davies, Master. John Morgan Jr",8.0,C.A. 33112
"Davies, Mr. Charles Henry",18.0,S.O.C. 14879
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",48.0,C.A. 33112
"Davis, Miss. Mary",28.0,237668
"de Brito, Mr. Jose Joaquim",32.0,244360
"Deacon, Mr. Percy William",17.0,S.O.C. 14879
"del Carlo, Mr. Sebastiano",29.0,SC/PARIS 2167
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",24.0,SC/PARIS 2167
"Denbury, Mr. Herbert",25.0,C.A. 31029
"Dibden, Mr. William",18.0,S.O.C. 14879
"Doling, Miss. Elsie",18.0,231919
"Doling, Mrs. John T (Ada Julia Bone)",34.0,231919
"Downton, Mr. William James",54.0,28403
"Drew, Master. Marshall Brines",8.0,28220
"Drew, Mr. James Vivian",42.0,28220
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",34.0,28220
"Duran y More, Miss. Asuncion",27.0,SC/PARIS 2149
"Duran y More, Miss. Florentina",30.0,SC/PARIS 2148
"Eitemiller, Mr. George Floyd",23.0,29751
"Enander, Mr. Ingvar",21.0,236854
"Fahlstrom, Mr. Arne Jonas",18.0,236171
"Faunthorpe, Mr. Harry",40.0,2926
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,2926
"Fillbrook, Mr. Joseph Charles",18.0,C.A. 15185
"Fox, Mr. Stanley Hubert",36.0,229236
"Frost, Mr. Anthony Wood ""Archie""",,239854
"Funk, Miss. Annie Clemmer",38.0,237671
"Fynney, Mr. Joseph J",35.0,239865
"Gale, Mr. Harry",38.0,28664
"Gale, Mr. Shadrach",34.0,28664
"Garside, Miss. Ethel",34.0,243880
"Gaskell, Mr. Alfred",16.0,239865
"Gavey, Mr. Lawrence",26.0,31028
"Gilbert, Mr. William",47.0,C.A. 30769
"Giles, Mr. Edgar",21.0,28133
"Giles, Mr. Frederick Edward",21.0,28134
"Giles, Mr. Ralph",24.0,248726
"Gill, Mr. John William",24.0,233866
"Gillespie, Mr. William Henry",34.0,12233
"Givard, Mr. Hans Kristensen",30.0,250646
"Greenberg, Mr. Samuel",52.0,250647
"Hale, Mr. Reginald",30.0,250653
"Hamalainen, Master. Viljo",0.6667,250649
"Hamalainen, Mrs. William (Anna)",24.0,250649
"Harbeck, Mr. William H",44.0,248746
"Harper, Miss. Annie Jessie ""Nina""",6.0,248727
"Harper, Rev. John",28.0,248727
"Harris, Mr. George",62.0,S.W./PP 752
"Harris, Mr. Walter",30.0,W/C 14208
"Hart, Miss. Eva Miriam",7.0,F.C.C. 13529
"Hart, Mr. Benjamin",43.0,F.C.C. 13529
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",45.0,F.C.C. 13529
"Herman, Miss. Alice",24.0,220845
"Herman, Miss. Kate",24.0,220845
"Herman, Mr. Samuel",49.0,220845
"Herman, Mrs. Samuel (Jane Laver)",48.0,220845
"Hewlett, Mrs. (Mary D Kingcome) ",55.0,248706
"Hickman, Mr. Leonard Mark",24.0,S.O.C. 14879
"Hickman, Mr. Lewis",32.0,S.O.C. 14879
"Hickman, Mr. Stanley George",21.0,S.O.C. 14879
"Hiltunen, Miss. Marta",18.0,250650
"Hocking, Miss. Ellen ""Nellie""",20.0,29105
"Hocking, Mr. Richard George",23.0,29104
"Hocking, Mr. Samuel James Metcalfe",36.0,242963
"Hocking, Mrs. Elizabeth (Eliza Needs)",54.0,29105
"Hodges, Mr. Henry Price",50.0,250643
"Hold, Mr. Stephen",44.0,26707
"Hold, Mrs. Stephen (Annie Margaret Hill)",29.0,26707
"Hood, Mr. Ambrose Jr",21.0,S.O.C. 14879
"Hosono, Mr. Masabumi",42.0,237798
"Howard, Mr. Benjamin",63.0,24065
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",60.0,24065
"Hunt, Mr. George Henry",33.0,SCO/W 1585
"Ilett, Miss. Bertha",17.0,SO/C 14885
"Jacobsohn, Mr. Sidney Samuel",42.0,243847
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",24.0,243847
"Jarvis, Mr. John Denzil",47.0,237565
"Jefferys, Mr. Clifford Thomas",24.0,C.A. 31029
"Jefferys, Mr. Ernest Wilfred",22.0,C.A. 31029
"Jenkin, Mr. Stephen Curnow",32.0,C.A. 33111
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",23.0,SC/AH Basle 541
"Kantor, Mr. Sinai",34.0,244367
"Kantor, Mrs. Sinai (Miriam Sternin)",24.0,244367
"Karnes, Mrs. J Frank (Claire Bennett)",22.0,F.C.C. 13534
"Keane, Miss. Nora A",,226593
"Keane, Mr. Daniel",35.0,233734
"Kelly, Mrs. Florence ""Fannie""",45.0,223596
"Kirkland, Rev. Charles Leonard",57.0,219533
"Knight, Mr. Robert J",,239855
"Kvillner, Mr. Johan Henrik Johannesson",31.0,C.A. 18723
"Lahtinen, Mrs. William (Anna Sylfven)",26.0,250651
"Lahtinen, Rev. William",30.0,250651
"Lamb, Mr. John Joseph",,240261
"Laroche, Miss. Louise",1.0,SC/Paris 2123
"Laroche, Miss. Simonne Marie Anne Andree",3.0,SC/Paris 2123
"Laroche, Mr. Joseph Philippe Lemercier",25.0,SC/Paris 2123
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",22.0,SC/Paris 2123
"Lehmann, Miss. Bertha",17.0,SC 1748
"Leitch, Miss. Jessie Wills",,248727
"Lemore, Mrs. (Amelia Milley)",34.0,C.A. 34260
"Levy, Mr. Rene Jacques",36.0,SC/Paris 2163
"Leyson, Mr. Robert William Norman",24.0,C.A. 29566
"Lingane, Mr. John",61.0,235509
"Louch, Mr. Charles Alexander",50.0,SC/AH 3085
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",42.0,SC/AH 3085
"Mack, Mrs. (Mary)",57.0,S.O./P.P. 3
"Malachard, Mr. Noel",,237735
"Mallet, Master. Andre",1.0,S.C./PARIS 2079
"Mallet, Mr. Albert",31.0,S.C./PARIS 2079
"Mallet, Mrs. Albert (Antoinette Magnin)",24.0,S.C./PARIS 2079
"Mangiavacchi, Mr. Serafino Emilio",,SC/A.3 2861
"Matthews, Mr. William John",30.0,28228
"Maybery, Mr. Frank Hubert",40.0,239059
"McCrae, Mr. Arthur Gordon",32.0,237216
